src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,46518.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:25.033Z,10,2,2025-07-30
192.168.1.88,46504.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:25.032Z,10,2,2025-07-30
192.168.1.88,46502.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:24.967Z,10,2,2025-07-30
192.168.1.88,46488.0,2025-07-30 10:56:26.872000+00:00,2025-07-30T10:56:24.966Z,10,2,2025-07-30
192.168.1.88,50370.0,2025-07-30 10:56:26.871000+00:00,2025-07-30T10:56:25.066Z,10,2,2025-07-30
192.168.1.67,57600.0,2025-07-30 10:56:26.871000+00:00,2025-07-30T10:56:25.066Z,10,2,2025-07-30
192.168.1.88,50386.0,2025-07-30 10:56:26.871000+00:00,2025-07-30T10:56:25.062Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:56:26.871000+00:00,2025-07-30T10:56:25.062Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:20.031Z,10,2,2025-07-30
192.168.1.67,57602.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:20.025Z,10,2,2025-07-30
192.168.1.88,46480.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:19.982Z,10,2,2025-07-30
192.168.1.88,46456.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:19.982Z,10,2,2025-07-30
192.168.1.88,46472.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:19.978Z,10,2,2025-07-30
192.168.1.88,46456.0,2025-07-30 10:56:21.947000+00:00,2025-07-30T10:56:19.978Z,10,2,2025-07-30
192.168.1.88,35504.0,2025-07-30 10:56:16.887000+00:00,2025-07-30T10:56:14.982Z,10,2,2025-07-30
192.168.1.12,48436.0,2025-07-30 10:56:16.887000+00:00,2025-07-30T10:56:14.969Z,10,2,2025-07-30
192.168.1.88,35490.0,2025-07-30 10:56:16.887000+00:00,2025-07-30T10:56:14.968Z,10,2,2025-07-30
192.168.1.88,35474.0,2025-07-30 10:56:16.887000+00:00,2025-07-30T10:56:14.966Z,10,2,2025-07-30
192.168.1.88,46436.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.999Z,10,2,2025-07-30
192.168.1.88,46446.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.999Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.999Z,10,2,2025-07-30
192.168.1.67,57606.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.996Z,10,2,2025-07-30
192.168.1.88,35520.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.984Z,10,2,2025-07-30
192.168.1.88,35504.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.984Z,10,2,2025-07-30
192.168.1.88,35514.0,2025-07-30 10:56:16.886000+00:00,2025-07-30T10:56:14.983Z,10,2,2025-07-30
192.168.1.67,57605.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:10.006Z,10,2,2025-07-30
192.168.1.67,57604.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:10.004Z,10,2,2025-07-30
192.168.1.94,59291.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:09.970Z,10,2,2025-07-30
192.168.1.88,35450.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:09.970Z,10,2,2025-07-30
192.168.1.88,35464.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:09.968Z,10,2,2025-07-30
192.168.1.88,35456.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:09.967Z,10,2,2025-07-30
192.168.1.88,35450.0,2025-07-30 10:56:11.888000+00:00,2025-07-30T10:56:09.966Z,10,2,2025-07-30
192.168.1.88,50152.0,2025-07-30 10:56:06.828000+00:00,2025-07-30T10:56:04.966Z,10,2,2025-07-30
192.168.1.88,50148.0,2025-07-30 10:56:06.828000+00:00,2025-07-30T10:56:04.965Z,10,2,2025-07-30
192.168.1.88,50156.0,2025-07-30 10:56:06.828000+00:00,2025-07-30T10:56:04.964Z,10,2,2025-07-30
192.168.1.12,47406.0,2025-07-30 10:56:06.828000+00:00,2025-07-30T10:56:04.964Z,10,2,2025-07-30
192.168.1.88,35444.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:05.008Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:05.007Z,10,2,2025-07-30
192.168.1.88,35434.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:04.999Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:04.999Z,10,2,2025-07-30
192.168.1.88,50162.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:04.987Z,10,2,2025-07-30
192.168.1.88,50176.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:04.981Z,10,2,2025-07-30
192.168.1.88,50156.0,2025-07-30 10:56:06.827000+00:00,2025-07-30T10:56:04.967Z,10,2,2025-07-30
192.168.1.88,52576.0,2025-07-30 10:55:56.867000+00:00,2025-07-30T10:55:54.965Z,10,2,2025-07-30
192.168.1.88,52574.0,2025-07-30 10:55:56.867000+00:00,2025-07-30T10:55:54.963Z,10,2,2025-07-30
192.168.1.88,52560.0,2025-07-30 10:55:56.867000+00:00,2025-07-30T10:55:54.963Z,10,2,2025-07-30
192.168.1.88,50094.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.995Z,10,2,2025-07-30
192.168.1.88,50084.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.995Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.995Z,10,2,2025-07-30
192.168.1.67,57605.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.994Z,10,2,2025-07-30
192.168.1.10,0.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.989Z,10,2,2025-07-30
192.168.1.88,52588.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.985Z,10,2,2025-07-30
192.168.1.88,52594.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.985Z,10,2,2025-07-30
192.168.1.10,0.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.977Z,10,2,2025-07-30
192.168.1.88,52576.0,2025-07-30 10:55:56.866000+00:00,2025-07-30T10:55:54.965Z,10,2,2025-07-30
192.168.1.88,52512.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.998Z,10,2,2025-07-30
192.168.1.67,57600.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.997Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.997Z,10,2,2025-07-30
192.168.1.10,0.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.995Z,10,2,2025-07-30
192.168.1.88,54770.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.982Z,10,2,2025-07-30
192.168.1.88,54766.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.982Z,10,2,2025-07-30
192.168.1.88,54758.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.962Z,10,2,2025-07-30
192.168.1.88,54758.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.962Z,10,2,2025-07-30
192.168.1.88,54746.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.961Z,10,2,2025-07-30
192.168.1.88,54740.0,2025-07-30 10:55:46.868000+00:00,2025-07-30T10:55:44.961Z,10,2,2025-07-30
